speed_vx,speed_vy,speed_vz,battery_percent,angle_phi,angle_psi,angle_theta,gps_amsl_altitude,landcover,distance_to_base,wifi_signal_mW
0.0,0.0,0.0,91.9,-0.00984764,-0.018650586,0.054096866,403.0069885,,0.0,0.000172168
2.693020821,4.649122715,-4.030302048,90.55,0.322787732,1.453480482,-0.207106441,467.2423706,,64.2869751,1.03e-07
6.233323097,9.715499878,-3.990278721,90.34,0.365566313,1.449865341,-0.181541547,476.8248596,,76.64650981,1.38e-07
7.220326424,12.28943157,-3.938716412,90.13,0.39912504,1.450994372,-0.206903875,485.6096802,,96.00477092,1.68e-07
7.423390865,12.48257351,-3.91728878,89.92,0.453178078,1.158368349,-0.062721424,494.0996094,,120.8445526,2.64e-07
7.446395874,11.93531704,-0.144768611,89.74,0.216146946,1.154533267,-0.403633684,497.3397217,,143.04279,2.21e-07
12.30268097,8.837855339,0.080177344,89.62,0.107300811,1.150727749,-0.499964625,497.4481201,,164.3737024,1.5e-07
13.25395298,3.509489775,-0.079521134,89.14,0.067192949,1.181052923,-0.501931071,497.8995667,,239.6578095,3.63e-08
10.10848141,2.138393641,-0.164365873,89.02,-0.004669712,1.167706251,-0.502381206,497.8460999,,260.5958556,3.69e-09
3.467332602,1.326761365,-0.283207089,88.93,-0.087159626,1.14269352,0.165083259,497.7633972,,275.3087115,2.57e-09
2.085524082,-0.148953289,-0.142606094,85.75,-0.064138219,1.589480996,-0.487196654,497.3221436,,283.0038853,2.9e-09
10.63047981,-3.461519718,-0.042742956,85.63,-0.146770775,1.588627934,-0.468698591,497.3574219,,298.4264965,2.81e-09
7.131352425,-3.165335894,0.190972596,85.42,0.183257431,1.586870074,0.446739882,497.3703003,,318.2661461,6.71e-09
6.4260602,-6.914666653,-0.060276214,85.33,-0.365486771,1.582175732,-0.316372186,497.3508301,,326.3518988,3.31e-09
5.10959816,-4.80954504,0.082922414,85.21,0.322589338,1.568966627,0.329524755,497.3268433,,338.7977626,5.46e-09
-2.359545946,-0.041408282,0.080067299,84.01,0.000692066,1.530758977,-0.108880565,497.3699036,,338.4657127,1.05e-08
-2.021214247,0.048600938,-0.062433373,83.62,0.006144993,1.536150217,0.47170797,497.3482056,,328.8502862,7.35e-09
-2.65049696,-0.072359405,0.148630217,83.17,-0.076220006,1.538721442,-0.401402414,497.3246155,,318.9470523,7.46e-09
-3.715589523,-0.025522318,-0.147953317,80.35,-0.023015773,-1.534687519,0.527188778,497.3456116,,347.4235485,2.54e-09
-12.00859356,0.124009281,-0.078675903,80.17,-0.012174515,-1.533396602,0.525846779,497.381897,,368.357992,2.7e-09
-11.25234509,-0.129819527,0.287355304,80.05,-0.040664773,-1.546327353,-0.400790989,497.4537354,,395.3692426,1.87e-09
-11.40678501,-0.42423591,0.109839827,79.96,-0.186830193,-1.536555171,0.413323611,497.4522095,,414.9653544,1.48e-09
-11.74218082,-3.338305712,-0.022530014,79.78,-0.181746006,-1.528479218,0.48269242,497.3740234,,447.0444964,1.28e-09
-14.28658199,-2.832163811,-0.082542561,79.54,-0.075047985,-1.530532837,0.366489768,497.3966064,,478.5179351,1.88e-09
-12.92924309,-1.308933139,-0.032583434,79.45,0.040553782,-1.529214859,0.472738326,497.3881226,,510.7097905,1.68e-09
-4.304039955,-0.848556757,-0.077500746,79.3,0.056682307,-1.564420819,-0.158363357,497.3030396,,533.0695569,1.37e-09
-3.064328909,0.164243639,0.078738898,77.38,-0.010617095,-1.628873706,-0.420923054,497.3346863,,541.2873416,8.28e-10
-8.735567093,-0.018902592,-0.007256948,75.28,-0.022608763,-1.639576793,0.527369082,497.3812256,,552.4727129,2.31e-09
-4.095908165,0.011089691,-0.068797842,74.74,-0.01795687,-1.640543938,0.368796289,497.3608093,,567.255673,1.92e-09
-1.022920847,0.012182824,-0.106497385,74.65,-0.057738621,-1.639129639,-0.406913549,497.3358154,,578.6461053,1.56e-09
