best_epoch,best_loss,final_epoch,patience,module,module__num_units,module__activation,optimizer,lr
7,0.0919552681848098,107,100,SimpleNeuralNet,10,ReLU,Adam,0.1
7,0.1071582672162757,107,100,SimpleNeuralNet,10,ReLU,Adam,0.1
20,0.0733852945970101,120,100,SimpleNeuralNet,10,ReLU,Adam,0.1
478,0.0705286861560616,500,100,SimpleNeuralNet,10,ReLU,SGD,0.1
364,0.0772226547090359,464,100,SimpleNeuralNet,10,ReLU,SGD,0.1
475,0.0456085173517728,500,100,SimpleNeuralNet,10,ReLU,SGD,0.1
11,0.0894493561939772,111,100,SimpleNeuralNet,15,ReLU,Adam,0.1
7,0.0985713662710669,107,100,SimpleNeuralNet,15,ReLU,Adam,0.1
31,0.0671920048913909,131,100,SimpleNeuralNet,15,ReLU,Adam,0.1
342,0.0678938516208332,442,100,SimpleNeuralNet,15,ReLU,SGD,0.1
294,0.0685286980966107,394,100,SimpleNeuralNet,15,ReLU,SGD,0.1
497,0.041196870910888,500,100,SimpleNeuralNet,15,ReLU,SGD,0.1
7,0.0885476422798621,107,100,SimpleNeuralNet,20,ReLU,Adam,0.1
142,0.101435278000534,242,100,SimpleNeuralNet,20,ReLU,Adam,0.1
45,0.0663768792701622,145,100,SimpleNeuralNet,20,ReLU,Adam,0.1
299,0.0683914958212997,399,100,SimpleNeuralNet,20,ReLU,SGD,0.1
474,0.0644151560152877,500,100,SimpleNeuralNet,20,ReLU,SGD,0.1
483,0.0371810141399544,500,100,SimpleNeuralNet,20,ReLU,SGD,0.1
5,0.0892672664770843,105,100,SimpleNeuralNet,25,ReLU,Adam,0.1
69,0.0980628092357178,169,100,SimpleNeuralNet,25,ReLU,Adam,0.1
6,0.0673173336072182,106,100,SimpleNeuralNet,25,ReLU,Adam,0.1
500,0.060555229669744,500,100,SimpleNeuralNet,25,ReLU,SGD,0.1
287,0.0654743340174904,387,100,SimpleNeuralNet,25,ReLU,SGD,0.1
437,0.0359699256517831,500,100,SimpleNeuralNet,25,ReLU,SGD,0.1
26,0.0888919177371966,126,100,SimpleNeuralNet,30,ReLU,Adam,0.1
32,0.0949417570286552,132,100,SimpleNeuralNet,30,ReLU,Adam,0.1
22,0.0678329081208661,122,100,SimpleNeuralNet,30,ReLU,Adam,0.1
475,0.0604345415546147,500,100,SimpleNeuralNet,30,ReLU,SGD,0.1
382,0.060539209417026,482,100,SimpleNeuralNet,30,ReLU,SGD,0.1
481,0.0327026897686787,500,100,SimpleNeuralNet,30,ReLU,SGD,0.1
225,0.086389218016854,325,100,SimpleNeuralNet,10,Tanh,Adam,0.1
54,0.0889167440888906,154,100,SimpleNeuralNet,10,Tanh,Adam,0.1
119,0.058391945915059,219,100,SimpleNeuralNet,10,Tanh,Adam,0.1
492,0.0672905624528871,500,100,SimpleNeuralNet,10,Tanh,SGD,0.1
432,0.0686080416111978,500,100,SimpleNeuralNet,10,Tanh,SGD,0.1
484,0.0467595264895753,500,100,SimpleNeuralNet,10,Tanh,SGD,0.1
362,0.074850041513103,462,100,SimpleNeuralNet,15,Tanh,Adam,0.1
368,0.0691968881230016,468,100,SimpleNeuralNet,15,Tanh,Adam,0.1
224,0.0507669780800024,324,100,SimpleNeuralNet,15,Tanh,Adam,0.1
470,0.0614586300899045,500,100,SimpleNeuralNet,15,Tanh,SGD,0.1
493,0.0627817794536359,500,100,SimpleNeuralNet,15,Tanh,SGD,0.1
497,0.0438335022344387,500,100,SimpleNeuralNet,15,Tanh,SGD,0.1
363,0.0730087221586793,463,100,SimpleNeuralNet,20,Tanh,Adam,0.1
420,0.0667987405417247,500,100,SimpleNeuralNet,20,Tanh,Adam,0.1
137,0.0522047902982474,237,100,SimpleNeuralNet,20,Tanh,Adam,0.1
492,0.0581813638330662,500,100,SimpleNeuralNet,20,Tanh,SGD,0.1
500,0.0602486601602995,500,100,SimpleNeuralNet,20,Tanh,SGD,0.1
497,0.0369024039192253,500,100,SimpleNeuralNet,20,Tanh,SGD,0.1
272,0.0671175249434888,372,100,SimpleNeuralNet,25,Tanh,Adam,0.1
402,0.0656843686552875,500,100,SimpleNeuralNet,25,Tanh,Adam,0.1
423,0.0454883654596863,500,100,SimpleNeuralNet,25,Tanh,Adam,0.1
487,0.0556699992096117,500,100,SimpleNeuralNet,25,Tanh,SGD,0.1
495,0.0576396249069606,500,100,SimpleNeuralNet,25,Tanh,SGD,0.1
488,0.0347229357537184,500,100,SimpleNeuralNet,25,Tanh,SGD,0.1
284,0.0613390761371588,384,100,SimpleNeuralNet,30,Tanh,Adam,0.1
480,0.0603118378011148,500,100,SimpleNeuralNet,30,Tanh,Adam,0.1
168,0.0477377782528709,268,100,SimpleNeuralNet,30,Tanh,Adam,0.1
489,0.0549202853617322,500,100,SimpleNeuralNet,30,Tanh,SGD,0.1
486,0.0547188599033621,500,100,SimpleNeuralNet,30,Tanh,SGD,0.1
500,0.0333864927575533,500,100,SimpleNeuralNet,30,Tanh,SGD,0.1
490,0.0715806388670547,500,100,SimpleNeuralNet,10,Sigmoid,Adam,0.1
374,0.0849803179957631,474,100,SimpleNeuralNet,10,Sigmoid,Adam,0.1
301,0.0562807507917147,401,100,SimpleNeuralNet,10,Sigmoid,Adam,0.1
499,0.068902090202659,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.1
500,0.0729057681668853,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.1
498,0.0489379465852432,500,100,SimpleNeuralNet,10,Sigmoid,SGD,0.1
269,0.0702771339811923,369,100,SimpleNeuralNet,15,Sigmoid,Adam,0.1
460,0.0681314013398355,500,100,SimpleNeuralNet,15,Sigmoid,Adam,0.1
176,0.0417816195959915,276,100,SimpleNeuralNet,15,Sigmoid,Adam,0.1
499,0.0641214725160355,500,100,SimpleNeuralNet,15,Sigmoid,SGD,0.1
